"siteName","stateCode","siteVisitName","taxonGenus","latitude_Degree","longitude_Degree","siteVisitStartDate","abundance"
"NSABBS0005","NS",20180515,"Lysiana",-30.49878,149.28,"2018-05-15T09:52:21",1
"NSABBS0005","NS",20180515,"Thyridolepis",-30.49878,149.28,"2018-05-15T09:52:21",1
"NSABBS0005","NS",20180515,NA,-30.49878,149.28,"2018-05-15T09:52:21",162
"NSABBS0006","NS",20180515,"Acacia",-30.51027,149.2673,"2018-05-15T15:49:17",48
"NSABBS0006","NS",20180515,"Aristida",-30.51027,149.2673,"2018-05-15T15:49:17",1
"NSABBS0006","NS",20180515,"Callitris",-30.51027,149.2673,"2018-05-15T15:49:17",229
"NSABBS0006","NS",20180515,"Calotis",-30.51027,149.2673,"2018-05-15T15:49:17",3
"NSABBS0006","NS",20180515,"Casuarina",-30.51027,149.2673,"2018-05-15T15:49:17",184
"NSABBS0006","NS",20180515,"Eremophila",-30.51027,149.2673,"2018-05-15T15:49:17",8
"NSABBS0006","NS",20180515,"Eucalyptus",-30.51027,149.2673,"2018-05-15T15:49:17",279
"NSABBS0006","NS",20180515,NA,-30.51027,149.2673,"2018-05-15T15:49:17",201
"NSABHC0001","NS",20120529,"Aristida",-31.89335,141.4338,"2012-05-29T00:00:00",1
"NSABHC0001","NS",20120529,"Atriplex",-31.89335,141.4338,"2012-05-29T00:00:00",49
"NSABHC0001","NS",20120529,"Austrostipa",-31.89335,141.4338,"2012-05-29T00:00:00",4
"NSABHC0001","NS",20120529,"Brachyscome",-31.89335,141.4338,"2012-05-29T00:00:00",7
"NSABHC0001","NS",20120529,"Enneapogon",-31.89335,141.4338,"2012-05-29T00:00:00",24
"NSABHC0001","NS",20120529,"Maireana",-31.89335,141.4338,"2012-05-29T00:00:00",29
"NSABHC0001","NS",20120529,"Malacocera",-31.89335,141.4338,"2012-05-29T00:00:00",3
"NSABHC0001","NS",20120529,"Minuria",-31.89335,141.4338,"2012-05-29T00:00:00",10
"NSABHC0001","NS",20120529,"Sarcozona",-31.89335,141.4338,"2012-05-29T00:00:00",37
"NSABHC0001","NS",20120529,"Sclerolaena",-31.89335,141.4338,"2012-05-29T00:00:00",19
"NSABHC0001","NS",20120529,"Sida",-31.89335,141.4338,"2012-05-29T00:00:00",29
"NSABHC0001","NS",20120529,NA,-31.89335,141.4338,"2012-05-29T00:00:00",59
"NSABHC0002","NS",20120531,"Aristida",-31.92703,141.433,"2012-05-31T00:00:00",3
"NSABHC0002","NS",20120531,"Atriplex",-31.92703,141.433,"2012-05-31T00:00:00",3
"NSABHC0002","NS",20120531,"Brachyscome",-31.92703,141.433,"2012-05-31T00:00:00",15
"NSABHC0002","NS",20120531,"Enneapogon",-31.92703,141.433,"2012-05-31T00:00:00",33
"NSABHC0002","NS",20120531,"Eragrostis",-31.92703,141.433,"2012-05-31T00:00:00",13
"NSABHC0002","NS",20120531,"Euphorbia",-31.92703,141.433,"2012-05-31T00:00:00",1
"NSABHC0002","NS",20120531,"Maireana",-31.92703,141.433,"2012-05-31T00:00:00",68
"NSABHC0002","NS",20120531,"Minuria",-31.92703,141.433,"2012-05-31T00:00:00",15
"NSABHC0002","NS",20120531,"Rhagodia",-31.92703,141.433,"2012-05-31T00:00:00",5
"NSABHC0002","NS",20120531,"Sarcozona",-31.92703,141.433,"2012-05-31T00:00:00",41
"NSABHC0002","NS",20120531,"Sclerolaena",-31.92703,141.433,"2012-05-31T00:00:00",23
"NSABHC0002","NS",20120531,"Senna",-31.92703,141.433,"2012-05-31T00:00:00",1
"NSABHC0002","NS",20120531,"Sida",-31.92703,141.433,"2012-05-31T00:00:00",30
"NSABHC0002","NS",20120531,"Vittadinia",-31.92703,141.433,"2012-05-31T00:00:00",2
"NSABHC0002","NS",20120531,NA,-31.92703,141.433,"2012-05-31T00:00:00",60
"NSABHC0003","NS",20120604,"Acacia",-31.82872,141.434,"2012-06-04T00:00:00",3
"NSABHC0003","NS",20120604,"Atriplex",-31.82872,141.434,"2012-06-04T00:00:00",97
"NSABHC0003","NS",20120604,"Austrostipa",-31.82872,141.434,"2012-06-04T00:00:00",1
"NSABHC0003","NS",20120604,"Enneapogon",-31.82872,141.434,"2012-06-04T00:00:00",4
"NSABHC0003","NS",20120604,"Eremophila",-31.82872,141.434,"2012-06-04T00:00:00",2
"NSABHC0003","NS",20120604,"Maireana",-31.82872,141.434,"2012-06-04T00:00:00",47
"NSABHC0003","NS",20120604,"Minuria",-31.82872,141.434,"2012-06-04T00:00:00",10
"NSABHC0003","NS",20120604,"Myoporum",-31.82872,141.434,"2012-06-04T00:00:00",1
"NSABHC0003","NS",20120604,"Rhagodia",-31.82872,141.434,"2012-06-04T00:00:00",10
"NSABHC0003","NS",20120604,"Sclerolaena",-31.82872,141.434,"2012-06-04T00:00:00",27
"NSABHC0003","NS",20120604,"Sida",-31.82872,141.434,"2012-06-04T00:00:00",1
"NSABHC0003","NS",20120604,NA,-31.82872,141.434,"2012-06-04T00:00:00",55
"NSABHC0004","NS",20120606,"Aristida",-31.84728,141.9481,"2012-06-06T00:00:00",2
"NSABHC0004","NS",20120606,"Astrebla",-31.84728,141.9481,"2012-06-06T00:00:00",1
"NSABHC0004","NS",20120606,"Boerhavia",-31.84728,141.9481,"2012-06-06T00:00:00",5
"NSABHC0004","NS",20120606,"Brachyscome",-31.84728,141.9481,"2012-06-06T00:00:00",1
"NSABHC0004","NS",20120606,"Calotis",-31.84728,141.9481,"2012-06-06T00:00:00",1
"NSABHC0004","NS",20120606,"Carrichtera",-31.84728,141.9481,"2012-06-06T00:00:00",26
"NSABHC0004","NS",20120606,"Cenchrus",-31.84728,141.9481,"2012-06-06T00:00:00",1
"NSABHC0004","NS",20120606,"Chloris",-31.84728,141.9481,"2012-06-06T00:00:00",5
"NSABHC0004","NS",20120606,"Convolvulus",-31.84728,141.9481,"2012-06-06T00:00:00",12
"NSABHC0004","NS",20120606,"Cullen",-31.84728,141.9481,"2012-06-06T00:00:00",7
"NSABHC0004","NS",20120606,"Daucus",-31.84728,141.9481,"2012-06-06T00:00:00",2
"NSABHC0004","NS",20120606,"Digitaria",-31.84728,141.9481,"2012-06-06T00:00:00",17
"NSABHC0004","NS",20120606,"Echium",-31.84728,141.9481,"2012-06-06T00:00:00",14
"NSABHC0004","NS",20120606,"Einadia",-31.84728,141.9481,"2012-06-06T00:00:00",1
"NSABHC0004","NS",20120606,"Enneapogon",-31.84728,141.9481,"2012-06-06T00:00:00",51
"NSABHC0004","NS",20120606,"Enteropogon",-31.84728,141.9481,"2012-06-06T00:00:00",4
"NSABHC0004","NS",20120606,"Eragrostis",-31.84728,141.9481,"2012-06-06T00:00:00",12
"NSABHC0004","NS",20120606,"Eremophila",-31.84728,141.9481,"2012-06-06T00:00:00",2
"NSABHC0004","NS",20120606,"Erigeron",-31.84728,141.9481,"2012-06-06T00:00:00",1
"NSABHC0004","NS",20120606,"Euphorbia",-31.84728,141.9481,"2012-06-06T00:00:00",2
"NSABHC0004","NS",20120606,"Haloragis",-31.84728,141.9481,"2012-06-06T00:00:00",3
"NSABHC0004","NS",20120606,"Leiocarpa",-31.84728,141.9481,"2012-06-06T00:00:00",3
"NSABHC0004","NS",20120606,"Lotus",-31.84728,141.9481,"2012-06-06T00:00:00",9
"NSABHC0004","NS",20120606,"Maireana",-31.84728,141.9481,"2012-06-06T00:00:00",58
"NSABHC0004","NS",20120606,"Malacocera",-31.84728,141.9481,"2012-06-06T00:00:00",1
"NSABHC0004","NS",20120606,"Medicago",-31.84728,141.9481,"2012-06-06T00:00:00",5
"NSABHC0004","NS",20120606,"Panicum",-31.84728,141.9481,"2012-06-06T00:00:00",1
"NSABHC0004","NS",20120606,"Rhagodia",-31.84728,141.9481,"2012-06-06T00:00:00",15
"NSABHC0004","NS",20120606,"Sclerolaena",-31.84728,141.9481,"2012-06-06T00:00:00",11
"NSABHC0004","NS",20120606,"Senecio",-31.84728,141.9481,"2012-06-06T00:00:00",2
"NSABHC0004","NS",20120606,"Sida",-31.84728,141.9481,"2012-06-06T00:00:00",25
"NSABHC0004","NS",20120606,"Sporobolus",-31.84728,141.9481,"2012-06-06T00:00:00",1
"NSABHC0004","NS",20120606,"Teucrium",-31.84728,141.9481,"2012-06-06T00:00:00",1
"NSABHC0004","NS",20120606,"Trianthema",-31.84728,141.9481,"2012-06-06T00:00:00",1
"NSABHC0004","NS",20120606,"Vittadinia",-31.84728,141.9481,"2012-06-06T00:00:00",1
"NSABHC0004","NS",20120606,"Wahlenbergia",-31.84728,141.9481,"2012-06-06T00:00:00",2
"NSABHC0004","NS",20120606,NA,-31.84728,141.9481,"2012-06-06T00:00:00",65
"NSABHC0005","NS",20120730,"Astrebla",-31.84496,141.9405,"2012-07-30T00:00:00",201
"NSABHC0005","NS",20120730,"Bothriochloa",-31.84496,141.9405,"2012-07-30T00:00:00",17
"NSABHC0005","NS",20120730,"Brachyscome",-31.84496,141.9405,"2012-07-30T00:00:00",1
"NSABHC0005","NS",20120730,"Carrichtera",-31.84496,141.9405,"2012-07-30T00:00:00",13
"NSABHC0005","NS",20120730,"Dactylis",-31.84496,141.9405,"2012-07-30T00:00:00",1
"NSABHC0005","NS",20120730,"Digitaria",-31.84496,141.9405,"2012-07-30T00:00:00",2
"NSABHC0005","NS",20120730,"Enneapogon",-31.84496,141.9405,"2012-07-30T00:00:00",69
"NSABHC0005","NS",20120730,"Eragrostis",-31.84496,141.9405,"2012-07-30T00:00:00",14
"NSABHC0005","NS",20120730,"Maireana",-31.84496,141.9405,"2012-07-30T00:00:00",3
"NSABHC0005","NS",20120730,"Malvastrum",-31.84496,141.9405,"2012-07-30T00:00:00",1
"NSABHC0005","NS",20120730,"Minuria",-31.84496,141.9405,"2012-07-30T00:00:00",3
"NSABHC0005","NS",20120730,"Sclerolaena",-31.84496,141.9405,"2012-07-30T00:00:00",2
"NSABHC0005","NS",20120730,"Senecio",-31.84496,141.9405,"2012-07-30T00:00:00",3
"NSABHC0005","NS",20120730,"Sida",-31.84496,141.9405,"2012-07-30T00:00:00",48
"NSABHC0005","NS",20120730,"Sonchus",-31.84496,141.9405,"2012-07-30T00:00:00",3
"NSABHC0005","NS",20120730,NA,-31.84496,141.9405,"2012-07-30T00:00:00",102
"NSABHC0006","NS",20120801,"Abutilon",-31.88421,141.7823,"2012-08-01T00:00:00",14
"NSABHC0006","NS",20120801,"Astrebla",-31.88421,141.7823,"2012-08-01T00:00:00",35
"NSABHC0006","NS",20120801,"Atriplex",-31.88421,141.7823,"2012-08-01T00:00:00",23
"NSABHC0006","NS",20120801,"Austrostipa",-31.88421,141.7823,"2012-08-01T00:00:00",1
"NSABHC0006","NS",20120801,"Bothriochloa",-31.88421,141.7823,"2012-08-01T00:00:00",17
"NSABHC0006","NS",20120801,"Brachyscome",-31.88421,141.7823,"2012-08-01T00:00:00",4
"NSABHC0006","NS",20120801,"Digitaria",-31.88421,141.7823,"2012-08-01T00:00:00",1
"NSABHC0006","NS",20120801,"Enneapogon",-31.88421,141.7823,"2012-08-01T00:00:00",167
"NSABHC0006","NS",20120801,"Leiocarpa",-31.88421,141.7823,"2012-08-01T00:00:00",1
"NSABHC0006","NS",20120801,"Maireana",-31.88421,141.7823,"2012-08-01T00:00:00",7
"NSABHC0006","NS",20120801,"Malvastrum",-31.88421,141.7823,"2012-08-01T00:00:00",1
"NSABHC0006","NS",20120801,"Minuria",-31.88421,141.7823,"2012-08-01T00:00:00",4
"NSABHC0006","NS",20120801,"Panicum",-31.88421,141.7823,"2012-08-01T00:00:00",3
"NSABHC0006","NS",20120801,"Sclerolaena",-31.88421,141.7823,"2012-08-01T00:00:00",96
"NSABHC0006","NS",20120801,"Sida",-31.88421,141.7823,"2012-08-01T00:00:00",10
"NSABHC0006","NS",20120801,"Sporobolus",-31.88421,141.7823,"2012-08-01T00:00:00",19
"NSABHC0006","NS",20120801,NA,-31.88421,141.7823,"2012-08-01T00:00:00",111
"NSABHC0007","NS",20120802,"Aristida",-31.90113,141.7644,"2012-08-02T00:00:00",1
"NSABHC0007","NS",20120802,"Atriplex",-31.90113,141.7644,"2012-08-02T00:00:00",71
"NSABHC0007","NS",20120802,"Austrostipa",-31.90113,141.7644,"2012-08-02T00:00:00",2
"NSABHC0007","NS",20120802,"Brachyscome",-31.90113,141.7644,"2012-08-02T00:00:00",1
"NSABHC0007","NS",20120802,"Calotis",-31.90113,141.7644,"2012-08-02T00:00:00",1
"NSABHC0007","NS",20120802,"Carrichtera",-31.90113,141.7644,"2012-08-02T00:00:00",4
"NSABHC0007","NS",20120802,"Chenopodium",-31.90113,141.7644,"2012-08-02T00:00:00",1
"NSABHC0007","NS",20120802,"Chloris",-31.90113,141.7644,"2012-08-02T00:00:00",1
"NSABHC0007","NS",20120802,"Dactyloctenium",-31.90113,141.7644,"2012-08-02T00:00:00",4
"NSABHC0007","NS",20120802,"Daucus",-31.90113,141.7644,"2012-08-02T00:00:00",1
"NSABHC0007","NS",20120802,"Digitaria",-31.90113,141.7644,"2012-08-02T00:00:00",7
"NSABHC0007","NS",20120802,"Enneapogon",-31.90113,141.7644,"2012-08-02T00:00:00",105
"NSABHC0007","NS",20120802,"Enteropogon",-31.90113,141.7644,"2012-08-02T00:00:00",4
"NSABHC0007","NS",20120802,"Eragrostis",-31.90113,141.7644,"2012-08-02T00:00:00",3
"NSABHC0007","NS",20120802,"Euphorbia",-31.90113,141.7644,"2012-08-02T00:00:00",1
"NSABHC0007","NS",20120802,"Lotus",-31.90113,141.7644,"2012-08-02T00:00:00",4
"NSABHC0007","NS",20120802,"Maireana",-31.90113,141.7644,"2012-08-02T00:00:00",53
"NSABHC0007","NS",20120802,"Malacocera",-31.90113,141.7644,"2012-08-02T00:00:00",16
"NSABHC0007","NS",20120802,"Medicago",-31.90113,141.7644,"2012-08-02T00:00:00",4
"NSABHC0007","NS",20120802,"Minuria",-31.90113,141.7644,"2012-08-02T00:00:00",4
"NSABHC0007","NS",20120802,"Panicum",-31.90113,141.7644,"2012-08-02T00:00:00",7
"NSABHC0007","NS",20120802,"Rhagodia",-31.90113,141.7644,"2012-08-02T00:00:00",5
"NSABHC0007","NS",20120802,"Rytidosperma",-31.90113,141.7644,"2012-08-02T00:00:00",1
"NSABHC0007","NS",20120802,"Sclerolaena",-31.90113,141.7644,"2012-08-02T00:00:00",14
"NSABHC0007","NS",20120802,"Senecio",-31.90113,141.7644,"2012-08-02T00:00:00",1
"NSABHC0007","NS",20120802,"Sida",-31.90113,141.7644,"2012-08-02T00:00:00",26
"NSABHC0007","NS",20120802,"Tripogonella",-31.90113,141.7644,"2012-08-02T00:00:00",2
"NSABHC0007","NS",20120802,"Vittadinia",-31.90113,141.7644,"2012-08-02T00:00:00",4
"NSABHC0007","NS",20120802,NA,-31.90113,141.7644,"2012-08-02T00:00:00",75
"NSABHC0008","NS",20120831,"Atriplex",-31.88592,141.5288,"2012-08-31T00:00:00",35
"NSABHC0008","NS",20120831,"Austrostipa",-31.88592,141.5288,"2012-08-31T00:00:00",6
"NSABHC0008","NS",20120831,"Brachyscome",-31.88592,141.5288,"2012-08-31T00:00:00",14
"NSABHC0008","NS",20120831,"Calotis",-31.88592,141.5288,"2012-08-31T00:00:00",1
"NSABHC0008","NS",20120831,"Enneapogon",-31.88592,141.5288,"2012-08-31T00:00:00",28
"NSABHC0008","NS",20120831,"Enteropogon",-31.88592,141.5288,"2012-08-31T00:00:00",10
"NSABHC0008","NS",20120831,"Eragrostis",-31.88592,141.5288,"2012-08-31T00:00:00",7
"NSABHC0008","NS",20120831,"Eremophila",-31.88592,141.5288,"2012-08-31T00:00:00",1
"NSABHC0008","NS",20120831,"Leiocarpa",-31.88592,141.5288,"2012-08-31T00:00:00",4
"NSABHC0008","NS",20120831,"Maireana",-31.88592,141.5288,"2012-08-31T00:00:00",54
"NSABHC0008","NS",20120831,"Malacocera",-31.88592,141.5288,"2012-08-31T00:00:00",7
"NSABHC0008","NS",20120831,"Medicago",-31.88592,141.5288,"2012-08-31T00:00:00",1
"NSABHC0008","NS",20120831,"Minuria",-31.88592,141.5288,"2012-08-31T00:00:00",15
"NSABHC0008","NS",20120831,"Rhagodia",-31.88592,141.5288,"2012-08-31T00:00:00",26
"NSABHC0008","NS",20120831,"Sarcozona",-31.88592,141.5288,"2012-08-31T00:00:00",17
"NSABHC0008","NS",20120831,"Sclerolaena",-31.88592,141.5288,"2012-08-31T00:00:00",29
"NSABHC0008","NS",20120831,"Sida",-31.88592,141.5288,"2012-08-31T00:00:00",5
"NSABHC0008","NS",20120831,"Tripogonella",-31.88592,141.5288,"2012-08-31T00:00:00",2
"NSABHC0008","NS",20120831,"Vittadinia",-31.88592,141.5288,"2012-08-31T00:00:00",1
"NSABHC0008","NS",20120831,"Wahlenbergia",-31.88592,141.5288,"2012-08-31T00:00:00",2
"NSABHC0008","NS",20120831,NA,-31.88592,141.5288,"2012-08-31T00:00:00",65
"NSABHC0009","NS",20120903,"Aristida",-31.08023,141.6974,"2012-09-03T00:00:00",1
"NSABHC0009","NS",20120903,"Atriplex",-31.08023,141.6974,"2012-09-03T00:00:00",65
"NSABHC0009","NS",20120903,"Austrostipa",-31.08023,141.6974,"2012-09-03T00:00:00",3
"NSABHC0009","NS",20120903,"Bothriochloa",-31.08023,141.6974,"2012-09-03T00:00:00",14
"NSABHC0009","NS",20120903,"Brachyscome",-31.08023,141.6974,"2012-09-03T00:00:00",2
"NSABHC0009","NS",20120903,"Calotis",-31.08023,141.6974,"2012-09-03T00:00:00",1
"NSABHC0009","NS",20120903,"Convolvulus",-31.08023,141.6974,"2012-09-03T00:00:00",1
"NSABHC0009","NS",20120903,"Cullen",-31.08023,141.6974,"2012-09-03T00:00:00",2
"NSABHC0009","NS",20120903,"Daucus",-31.08023,141.6974,"2012-09-03T00:00:00",1
"NSABHC0009","NS",20120903,"Digitaria",-31.08023,141.6974,"2012-09-03T00:00:00",1
"NSABHC0009","NS",20120903,"Disphyma",-31.08023,141.6974,"2012-09-03T00:00:00",1
"NSABHC0009","NS",20120903,"Enneapogon",-31.08023,141.6974,"2012-09-03T00:00:00",65
"NSABHC0009","NS",20120903,"Enteropogon",-31.08023,141.6974,"2012-09-03T00:00:00",4
"NSABHC0009","NS",20120903,"Euphorbia",-31.08023,141.6974,"2012-09-03T00:00:00",1
"NSABHC0009","NS",20120903,"Leiocarpa",-31.08023,141.6974,"2012-09-03T00:00:00",5
"NSABHC0009","NS",20120903,"Lepidium",-31.08023,141.6974,"2012-09-03T00:00:00",1
"NSABHC0009","NS",20120903,"Lotus",-31.08023,141.6974,"2012-09-03T00:00:00",4
"NSABHC0009","NS",20120903,"Maireana",-31.08023,141.6974,"2012-09-03T00:00:00",15
"NSABHC0009","NS",20120903,"Minuria",-31.08023,141.6974,"2012-09-03T00:00:00",15
"NSABHC0009","NS",20120903,"Panicum",-31.08023,141.6974,"2012-09-03T00:00:00",13
"NSABHC0009","NS",20120903,"Ptilotus",-31.08023,141.6974,"2012-09-03T00:00:00",1
"NSABHC0009","NS",20120903,"Rhagodia",-31.08023,141.6974,"2012-09-03T00:00:00",3
"NSABHC0009","NS",20120903,"Sclerolaena",-31.08023,141.6974,"2012-09-03T00:00:00",49
"NSABHC0009","NS",20120903,"Sida",-31.08023,141.6974,"2012-09-03T00:00:00",17
"NSABHC0009","NS",20120903,"Sonchus",-31.08023,141.6974,"2012-09-03T00:00:00",18
"NSABHC0009","NS",20120903,"Sporobolus",-31.08023,141.6974,"2012-09-03T00:00:00",21
"NSABHC0009","NS",20120903,"Tripogonella",-31.08023,141.6974,"2012-09-03T00:00:00",11
"NSABHC0009","NS",20120903,"Wahlenbergia",-31.08023,141.6974,"2012-09-03T00:00:00",1
"NSABHC0009","NS",20120903,NA,-31.08023,141.6974,"2012-09-03T00:00:00",87
"NSABHC0009","NS",20160913,"Anemocarpa",-31.08023,141.6974,"2016-09-13T11:11:06",3
"NSABHC0009","NS",20160913,"Atriplex",-31.08023,141.6974,"2016-09-13T11:11:06",109
"NSABHC0009","NS",20160913,"Austrostipa",-31.08023,141.6974,"2016-09-13T11:11:06",2
"NSABHC0009","NS",20160913,"Brachyscome",-31.08023,141.6974,"2016-09-13T11:11:06",2
"NSABHC0009","NS",20160913,"Bromus",-31.08023,141.6974,"2016-09-13T11:11:06",10
"NSABHC0009","NS",20160913,"Calandrinia",-31.08023,141.6974,"2016-09-13T11:11:06",45
"NSABHC0009","NS",20160913,"Calotis",-31.08023,141.6974,"2016-09-13T11:11:06",3
"NSABHC0009","NS",20160913,"Casuarina",-31.08023,141.6974,"2016-09-13T11:11:06",3
"NSABHC0009","NS",20160913,"Chenopodium",-31.08023,141.6974,"2016-09-13T11:11:06",2
"NSABHC0009","NS",20160913,"Crassula",-31.08023,141.6974,"2016-09-13T11:11:06",22
"NSABHC0009","NS",20160913,"Daucus",-31.08023,141.6974,"2016-09-13T11:11:06",12
"NSABHC0009","NS",20160913,"Dichanthium",-31.08023,141.6974,"2016-09-13T11:11:06",1
"NSABHC0009","NS",20160913,"Enneapogon",-31.08023,141.6974,"2016-09-13T11:11:06",2
"NSABHC0009","NS",20160913,"Enteropogon",-31.08023,141.6974,"2016-09-13T11:11:06",6
"NSABHC0009","NS",20160913,"Erodium",-31.08023,141.6974,"2016-09-13T11:11:06",2
"NSABHC0009","NS",20160913,"Gnephosis",-31.08023,141.6974,"2016-09-13T11:11:06",2
"NSABHC0009","NS",20160913,"Goodenia",-31.08023,141.6974,"2016-09-13T11:11:06",1
"NSABHC0009","NS",20160913,"Leiocarpa",-31.08023,141.6974,"2016-09-13T11:11:06",4
"NSABHC0009","NS",20160913,"Lepidium",-31.08023,141.6974,"2016-09-13T11:11:06",2
"NSABHC0009","NS",20160913,"Linum",-31.08023,141.6974,"2016-09-13T11:11:06",1
"NSABHC0009","NS",20160913,"Lotus",-31.08023,141.6974,"2016-09-13T11:11:06",21
"NSABHC0009","NS",20160913,"Maireana",-31.08023,141.6974,"2016-09-13T11:11:06",28
"NSABHC0009","NS",20160913,"Minuria",-31.08023,141.6974,"2016-09-13T11:11:06",23
"NSABHC0009","NS",20160913,"Oxalis",-31.08023,141.6974,"2016-09-13T11:11:06",1
"NSABHC0009","NS",20160913,"Panicum",-31.08023,141.6974,"2016-09-13T11:11:06",1
"NSABHC0009","NS",20160913,"Plantago",-31.08023,141.6974,"2016-09-13T11:11:06",34
"NSABHC0009","NS",20160913,"Portulaca",-31.08023,141.6974,"2016-09-13T11:11:06",2
"NSABHC0009","NS",20160913,"Rhagodia",-31.08023,141.6974,"2016-09-13T11:11:06",3
