"siteName","stateCode","siteVisitName","scientificName","latitude_Degree","longitude_Degree","siteVisitStartDate","abundance","precipitationAnnualMean_millimetre","solarRadiationMean_megajoulePerSquareMetre","maximumTemperature_degreeCelsius","minimumTemperature_degreeCelsius","temperatureAnnualMean_degreeCelsius","climaticCondition","average_soil_pH_unitless","average_soil_EC_dSPerMetre","soil_texture_Grade"
"NSABBS0001","NS",20180511,"Vittadinia dissecta var. hirta",-31.28119,148.9766,2018-05-11 15:21:54,7,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0001","NS",20180511,NA,-31.28119,148.9766,2018-05-11 15:21:54,114,693.54,19.3271,37.3901,-1.817,16.6134,"DRY",6.33,0.0352,"Clayey sand"
"NSABBS0002","NS",20180512,"Acacia",-31.27945,148.9925,2018-05-12 13:41:09,55,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NS",20180512,"Acacia buxifolia",-31.27945,148.9925,2018-05-12 13:41:09,138,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NS",20180512,"Alstonia constricta",-31.27945,148.9925,2018-05-12 13:41:09,1,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NS",20180512,"Brachychiton populneus",-31.27945,148.9925,2018-05-12 13:41:09,11,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NS",20180512,"Bursaria spinosa",-31.27945,148.9925,2018-05-12 13:41:09,4,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NS",20180512,"Callitris endlicheri",-31.27945,148.9925,2018-05-12 13:41:09,86,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NS",20180512,"Cheilanthes sieberi",-31.27945,148.9925,2018-05-12 13:41:09,14,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NS",20180512,"Einadia polygonoides",-31.27945,148.9925,2018-05-12 13:41:09,3,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NS",20180512,"Eucalyptus crebra",-31.27945,148.9925,2018-05-12 13:41:09,100,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NS",20180512,"Eucalyptus dealbata",-31.27945,148.9925,2018-05-12 13:41:09,32,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NS",20180512,"Heliotropium amplexicaule",-31.27945,148.9925,2018-05-12 13:41:09,51,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NS",20180512,"Homoranthus flavescens",-31.27945,148.9925,2018-05-12 13:41:09,7,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NS",20180512,"Micromyrtus sessilis",-31.27945,148.9925,2018-05-12 13:41:09,2,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NS",20180512,"Oxalis",-31.27945,148.9925,2018-05-12 13:41:09,1,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NS",20180512,"Phebalium squamulosum subsp. coriaceum",-31.27945,148.9925,2018-05-12 13:41:09,2,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NS",20180512,"Poaceae",-31.27945,148.9925,2018-05-12 13:41:09,13,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NS",20180512,"Teucrium corymbosum",-31.27945,148.9925,2018-05-12 13:41:09,5,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0002","NS",20180512,NA,-31.27945,148.9925,2018-05-12 13:41:09,118,699.795,19.3406,37.5658,-1.77308,16.78,"WET",5.928,0.0352,"Clayey sand"
"NSABBS0003","NS",20180513,"Acacia",-30.45465,149.2268,2018-05-13 15:25:40,2,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0003","NS",20180513,"Acacia colletioides",-30.45465,149.2268,2018-05-13 15:25:40,1,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0003","NS",20180513,"Acacia deanei",-30.45465,149.2268,2018-05-13 15:25:40,7,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0003","NS",20180513,"Acacia mariae",-30.45465,149.2268,2018-05-13 15:25:40,38,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0003","NS",20180513,"Callitris glaucophylla",-30.45465,149.2268,2018-05-13 15:25:40,133,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0003","NS",20180513,"Calytrix tetragona",-30.45465,149.2268,2018-05-13 15:25:40,29,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0003","NS",20180513,"Casuarina cristata",-30.45465,149.2268,2018-05-13 15:25:40,192,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0003","NS",20180513,"Eucalyptus",-30.45465,149.2268,2018-05-13 15:25:40,4,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0003","NS",20180513,"Eucalyptus crebra",-30.45465,149.2268,2018-05-13 15:25:40,118,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0003","NS",20180513,"Eucalyptus sideroxylon",-30.45465,149.2268,2018-05-13 15:25:40,35,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0003","NS",20180513,"Westringia cheelii",-30.45465,149.2268,2018-05-13 15:25:40,11,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0003","NS",20180513,NA,-30.45465,149.2268,2018-05-13 15:25:40,152,568.074,19.8216,39.4243,-0.036467,19.226,"DRY",5.76,0.0716,"Clayey sand& Loamy sand"
"NSABBS0004","NS",20180514,"Acacia deanei",-30.46096,149.2469,2018-05-14 11:40:15,10,570.194,19.8125,39.4037,-0.0480058,19.2077,"DRY",6.54166666666667,0.171833333333333,"Clayey sand"
"NSABBS0004","NS",20180514,"Acacia mariae",-30.46096,149.2469,2018-05-14 11:40:15,14,570.194,19.8125,39.4037,-0.0480058,19.2077,"DRY",6.54166666666667,0.171833333333333,"Clayey sand"
"NSABBS0004","NS",20180514,"Aristida",-30.46096,149.2469,2018-05-14 11:40:15,2,570.194,19.8125,39.4037,-0.0480058,19.2077,"DRY",6.54166666666667,0.171833333333333,"Clayey sand"
"NSABBS0004","NS",20180514,"Callitris glaucophylla",-30.46096,149.2469,2018-05-14 11:40:15,231,570.194,19.8125,39.4037,-0.0480058,19.2077,"DRY",6.54166666666667,0.171833333333333,"Clayey sand"
"NSABBS0004","NS",20180514,"Casuarina pauper",-30.46096,149.2469,2018-05-14 11:40:15,191,570.194,19.8125,39.4037,-0.0480058,19.2077,"DRY",6.54166666666667,0.171833333333333,"Clayey sand"
"NSABBS0004","NS",20180514,"Eucalyptus crebra",-30.46096,149.2469,2018-05-14 11:40:15,230,570.194,19.8125,39.4037,-0.0480058,19.2077,"DRY",6.54166666666667,0.171833333333333,"Clayey sand"
"NSABBS0004","NS",20180514,"Eucalyptus sideroxylon",-30.46096,149.2469,2018-05-14 11:40:15,34,570.194,19.8125,39.4037,-0.0480058,19.2077,"DRY",6.54166666666667,0.171833333333333,"Clayey sand"
"NSABBS0004","NS",20180514,"Vittadinia",-30.46096,149.2469,2018-05-14 11:40:15,4,570.194,19.8125,39.4037,-0.0480058,19.2077,"DRY",6.54166666666667,0.171833333333333,"Clayey sand"
"NSABBS0004","NS",20180514,NA,-30.46096,149.2469,2018-05-14 11:40:15,197,570.194,19.8125,39.4037,-0.0480058,19.2077,"DRY",6.54166666666667,0.171833333333333,"Clayey sand"
"NSABBS0005","NS",20180515,"Callitris glaucophylla",-30.49878,149.28,2018-05-15 09:52:21,166,574.432,19.7924,39.3493,-0.0928283,19.1466,"DRY",6.74666666666667,0.1305,"Loamy sand"
"NSABBS0005","NS",20180515,"Calotis cuneifolia",-30.49878,149.28,2018-05-15 09:52:21,1,574.432,19.7924,39.3493,-0.0928283,19.1466,"DRY",6.74666666666667,0.1305,"Loamy sand"
"NSABBS0005","NS",20180515,"Calytrix tetragona",-30.49878,149.28,2018-05-15 09:52:21,12,574.432,19.7924,39.3493,-0.0928283,19.1466,"DRY",6.74666666666667,0.1305,"Loamy sand"
"NSABBS0005","NS",20180515,"Casuarina",-30.49878,149.28,2018-05-15 09:52:21,201,574.432,19.7924,39.3493,-0.0928283,19.1466,"DRY",6.74666666666667,0.1305,"Loamy sand"
"NSABBS0005","NS",20180515,"Eucalyptus crebra",-30.49878,149.28,2018-05-15 09:52:21,132,574.432,19.7924,39.3493,-0.0928283,19.1466,"DRY",6.74666666666667,0.1305,"Loamy sand"
"NSABBS0005","NS",20180515,"Eucalyptus melliodora",-30.49878,149.28,2018-05-15 09:52:21,39,574.432,19.7924,39.3493,-0.0928283,19.1466,"DRY",6.74666666666667,0.1305,"Loamy sand"
"NSABBS0005","NS",20180515,"Geijera parviflora",-30.49878,149.28,2018-05-15 09:52:21,3,574.432,19.7924,39.3493,-0.0928283,19.1466,"DRY",6.74666666666667,0.1305,"Loamy sand"
"NSABBS0005","NS",20180515,"Lysiana exocarpi subsp. tenuis",-30.49878,149.28,2018-05-15 09:52:21,1,574.432,19.7924,39.3493,-0.0928283,19.1466,"DRY",6.74666666666667,0.1305,"Loamy sand"
"NSABBS0005","NS",20180515,"Thyridolepis mitchelliana",-30.49878,149.28,2018-05-15 09:52:21,1,574.432,19.7924,39.3493,-0.0928283,19.1466,"DRY",6.74666666666667,0.1305,"Loamy sand"
"NSABBS0005","NS",20180515,NA,-30.49878,149.28,2018-05-15 09:52:21,162,574.432,19.7924,39.3493,-0.0928283,19.1466,"DRY",6.74666666666667,0.1305,"Loamy sand"
"NSABBS0006","NS",20180515,"Acacia deanei",-30.51027,149.2673,2018-05-15 15:49:17,2,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABBS0006","NS",20180515,"Acacia ixiophylla",-30.51027,149.2673,2018-05-15 15:49:17,46,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABBS0006","NS",20180515,"Aristida ramosa",-30.51027,149.2673,2018-05-15 15:49:17,1,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABBS0006","NS",20180515,"Callitris glaucophylla",-30.51027,149.2673,2018-05-15 15:49:17,229,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABBS0006","NS",20180515,"Calotis cuneifolia",-30.51027,149.2673,2018-05-15 15:49:17,3,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABBS0006","NS",20180515,"Casuarina",-30.51027,149.2673,2018-05-15 15:49:17,1,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABBS0006","NS",20180515,"Casuarina cristata",-30.51027,149.2673,2018-05-15 15:49:17,183,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABBS0006","NS",20180515,"Eremophila mitchellii",-30.51027,149.2673,2018-05-15 15:49:17,8,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABBS0006","NS",20180515,"Eucalyptus crebra",-30.51027,149.2673,2018-05-15 15:49:17,123,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABBS0006","NS",20180515,"Eucalyptus microcarpa",-30.51027,149.2673,2018-05-15 15:49:17,17,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABBS0006","NS",20180515,"Eucalyptus sideroxylon",-30.51027,149.2673,2018-05-15 15:49:17,139,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABBS0006","NS",20180515,NA,-30.51027,149.2673,2018-05-15 15:49:17,201,575.211,19.785,39.3064,-0.141986,19.0872,"DRY",6.256,0.075,"Loamy sand"
"NSABHC0009","NS",20120903,"Aristida anthoxanthoides",-31.08023,141.6974,2012-09-03,1,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Atriplex vesicaria",-31.08023,141.6974,2012-09-03,65,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Austrostipa scabra",-31.08023,141.6974,2012-09-03,3,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Bothriochloa macra",-31.08023,141.6974,2012-09-03,14,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Brachyscome ciliaris var. lanuginosa",-31.08023,141.6974,2012-09-03,2,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Calotis hispidula",-31.08023,141.6974,2012-09-03,1,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Convolvulus remotus",-31.08023,141.6974,2012-09-03,1,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Cullen cinereum",-31.08023,141.6974,2012-09-03,2,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Daucus glochidiatus",-31.08023,141.6974,2012-09-03,1,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Digitaria brownii",-31.08023,141.6974,2012-09-03,1,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Disphyma crassifolium subsp. clavellatum",-31.08023,141.6974,2012-09-03,1,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Enneapogon avenaceus",-31.08023,141.6974,2012-09-03,65,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Enteropogon acicularis",-31.08023,141.6974,2012-09-03,4,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Euphorbia drummondii",-31.08023,141.6974,2012-09-03,1,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Leiocarpa leptolepis",-31.08023,141.6974,2012-09-03,5,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Lepidium phlebopetalum",-31.08023,141.6974,2012-09-03,1,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Lotus cruentus",-31.08023,141.6974,2012-09-03,4,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Maireana astrotricha",-31.08023,141.6974,2012-09-03,10,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Maireana pyramidata",-31.08023,141.6974,2012-09-03,1,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Maireana trichoptera",-31.08023,141.6974,2012-09-03,4,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Minuria cunninghamii",-31.08023,141.6974,2012-09-03,15,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Panicum decompositum",-31.08023,141.6974,2012-09-03,13,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Ptilotus nobilis",-31.08023,141.6974,2012-09-03,1,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Rhagodia spinescens",-31.08023,141.6974,2012-09-03,3,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Sclerolaena brachyptera",-31.08023,141.6974,2012-09-03,8,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Sclerolaena divaricata",-31.08023,141.6974,2012-09-03,8,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Sclerolaena lanicuspis",-31.08023,141.6974,2012-09-03,8,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Sclerolaena longicuspis",-31.08023,141.6974,2012-09-03,1,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Sclerolaena ventricosa",-31.08023,141.6974,2012-09-03,24,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Sida fibulifera",-31.08023,141.6974,2012-09-03,4,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Sida intricata",-31.08023,141.6974,2012-09-03,6,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Sida trichopoda",-31.08023,141.6974,2012-09-03,7,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Sonchus oleraceus",-31.08023,141.6974,2012-09-03,18,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Sporobolus actinocladus",-31.08023,141.6974,2012-09-03,16,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Sporobolus caroli",-31.08023,141.6974,2012-09-03,5,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Tripogonella loliiformis",-31.08023,141.6974,2012-09-03,11,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,"Wahlenbergia gracilis",-31.08023,141.6974,2012-09-03,1,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0009","NS",20120903,NA,-31.08023,141.6974,2012-09-03,87,207.651,20.7765,40.6051,1.72848,19.5869,NA,NA,NA,NA
"NSABHC0010","NS",20120904,"Calotis hispidula",-31.07672,141.7003,2012-09-04,2,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NS",20120904,"Enneapogon avenaceus",-31.07672,141.7003,2012-09-04,23,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NS",20120904,"Euphorbia drummondii",-31.07672,141.7003,2012-09-04,3,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NS",20120904,"Lotus cruentus",-31.07672,141.7003,2012-09-04,7,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NS",20120904,"Maireana astrotricha",-31.07672,141.7003,2012-09-04,32,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NS",20120904,"Maireana pyramidata",-31.07672,141.7003,2012-09-04,13,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NS",20120904,"Rhodanthe microglossa",-31.07672,141.7003,2012-09-04,1,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NS",20120904,"Sclerolaena divaricata",-31.07672,141.7003,2012-09-04,2,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NS",20120904,"Sclerolaena lanicuspis",-31.07672,141.7003,2012-09-04,2,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NS",20120904,"Sclerolaena longicuspis",-31.07672,141.7003,2012-09-04,3,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NS",20120904,"Sclerolaena obliquicuspis",-31.07672,141.7003,2012-09-04,1,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NS",20120904,"Sclerolaena ventricosa",-31.07672,141.7003,2012-09-04,18,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NS",20120904,"Sida intricata",-31.07672,141.7003,2012-09-04,2,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NS",20120904,"Sporobolus actinocladus",-31.07672,141.7003,2012-09-04,1,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NS",20120904,"Tetragonia eremaea",-31.07672,141.7003,2012-09-04,3,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NS",20120904,"Tripogonella loliiformis",-31.07672,141.7003,2012-09-04,1,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NS",20120904,"Vittadinia eremaea",-31.07672,141.7003,2012-09-04,1,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0010","NS",20120904,NA,-31.07672,141.7003,2012-09-04,36,207.794,20.7783,40.5534,1.70047,19.5335,NA,NA,NA,NA
"NSABHC0014","NS",20120921,"Aristida contorta",-31.33115,141.5915,2012-09-21,37,220.428,20.5465,39.4093,1.36737,18.6134,NA,NA,NA,NA
"NSABHC0014","NS",20120921,"Brachyscome ciliaris var. ciliaris",-31.33115,141.5915,2012-09-21,1,220.428,20.5465,39.4093,1.36737,18.6134,NA,NA,NA,NA
"NSABHC0014","NS",20120921,"Calotis hispidula",-31.33115,141.5915,2012-09-21,1,220.428,20.5465,39.4093,1.36737,18.6134,NA,NA,NA,NA
"NSABHC0014","NS",20120921,"Cymbopogon ambiguus",-31.33115,141.5915,2012-09-21,15,220.428,20.5465,39.4093,1.36737,18.6134,NA,NA,NA,NA
"NSABHC0014","NS",20120921,"Enneapogon avenaceus",-31.33115,141.5915,2012-09-21,33,220.428,20.5465,39.4093,1.36737,18.6134,NA,NA,NA,NA
"NSABHC0014","NS",20120921,"Eragrostis dielsii",-31.33115,141.5915,2012-09-21,4,220.428,20.5465,39.4093,1.36737,18.6134,NA,NA,NA,NA
"NSABHC0014","NS",20120921,"Goodenia fascicularis",-31.33115,141.5915,2012-09-21,1,220.428,20.5465,39.4093,1.36737,18.6134,NA,NA,NA,NA
"NSABHC0014","NS",20120921,"Hypochaeris glabra",-31.33115,141.5915,2012-09-21,1,220.428,20.5465,39.4093,1.36737,18.6134,NA,NA,NA,NA
